title,description,category,price,discount_percentage,rating,stock,brand,sku,thumbnail
"Apple Airpods","The Apple Airpods offer a seamless wireless audio experience. With easy pairing, high-quality sound, and Siri integration, they are perfect for on-the-go listening.",mobile-accessories,129.99,15.54,4.15,67,Apple,MOB-APP-APP-100,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpods/thumbnail.webp
"Apple AirPods Max Silver","The Apple AirPods Max in Silver are premium over-ear headphones with high-fidelity audio, adaptive EQ, and active noise cancellation. Experience immersive sound in style.",mobile-accessories,549.99,13.67,3.47,59,Apple,MOB-APP-APP-101,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpods-max-silver/thumbnail.webp
"Apple Airpower Wireless Charger","The Apple AirPower Wireless Charger provides a convenient way to charge your compatible Apple devices wirelessly. Simply place your devices on the charging mat for effortless charging.",mobile-accessories,79.99,4.48,3.68,1,Apple,MOB-APP-APP-102,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpower-wireless-charger/thumbnail.webp
"Apple HomePod Mini Cosmic Grey","The Apple HomePod Mini in Cosmic Grey is a compact smart speaker that delivers impressive audio and integrates seamlessly with the Apple ecosystem for a smart home experience.",mobile-accessories,99.99,18.1,4.62,27,Apple,MOB-APP-APP-103,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-homepod-mini-cosmic-grey/thumbnail.webp
"Apple iPhone Charger","The Apple iPhone Charger is a high-quality charger designed for fast and efficient charging of your iPhone. Ensure your device stays powered up and ready to go.",mobile-accessories,19.99,18.52,4.15,31,Apple,MOB-APP-APP-104,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-iphone-charger/thumbnail.webp
"Apple MagSafe Battery Pack","The Apple MagSafe Battery Pack is a portable and convenient way to add extra battery life to your MagSafe-compatible iPhone. Attach it magnetically for a secure connection.",mobile-accessories,99.99,17.17,3.62,1,Apple,MOB-APP-APP-105,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-magsafe-battery-pack/thumbnail.webp
"Apple Watch Series 4 Gold","The Apple Watch Series 4 in Gold is a stylish and advanced smartwatch with features like heart rate monitoring, fitness tracking, and a beautiful Retina display.",mobile-accessories,349.99,12.02,2.74,33,Apple,MOB-APP-APP-106,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-watch-series-4-gold/thumbnail.webp
"Beats Flex Wireless Earphones","The Beats Flex Wireless Earphones offer a comfortable and versatile audio experience. With magnetic earbuds and up to 12 hours of battery life, they are ideal for everyday use.",mobile-accessories,49.99,5.73,4.24,50,Beats,MOB-BEA-BEA-107,https://cdn.dummyjson.com/product-images/mobile-accessories/beats-flex-wireless-earphones/thumbnail.webp
"iPhone 12 Silicone Case with MagSafe Plum","The iPhone 12 Silicone Case with MagSafe in Plum is a stylish and protective case designed for the iPhone 12. It features MagSafe technology for easy attachment of accessories.",mobile-accessories,29.99,13.85,3.62,69,Apple,MOB-APP-IPH-108,https://cdn.dummyjson.com/product-images/mobile-accessories/iphone-12-silicone-case-with-magsafe-plum/thumbnail.webp
Monopod,"The Monopod is a versatile camera accessory for stable and adjustable shooting. Perfect for capturing selfies, group photos, and videos with ease.",mobile-accessories,19.99,8.58,4.43,48,TechGear,MOB-TEC-MON-109,https://cdn.dummyjson.com/product-images/mobile-accessories/monopod/thumbnail.webp
"Selfie Lamp with iPhone","The Selfie Lamp with iPhone is a portable and adjustable LED light designed to enhance your selfies and video calls. Attach it to your iPhone for well-lit photos.",mobile-accessories,14.99,19.4,3.55,58,GadgetMaster,MOB-GAD-SEL-110,https://cdn.dummyjson.com/product-images/mobile-accessories/selfie-lamp-with-iphone/thumbnail.webp
"Selfie Stick Monopod","The Selfie Stick Monopod is a extendable and foldable device for capturing the perfect selfie or group photo. Compatible with smartphones and cameras.",mobile-accessories,12.99,19.12,3.88,11,SnapTech,MOB-SNA-SEL-111,https://cdn.dummyjson.com/product-images/mobile-accessories/selfie-stick-monopod/thumbnail.webp
"TV Studio Camera Pedestal","The TV Studio Camera Pedestal is a professional-grade camera support system for smooth and precise camera movements in a studio setting. Ideal for broadcast and production.",mobile-accessories,499.99,8.31,2.78,15,ProVision,MOB-PRO-STU-112,https://cdn.dummyjson.com/product-images/mobile-accessories/tv-studio-camera-pedestal/thumbnail.webp
"Generic Motorcycle","The Generic Motorcycle is a versatile and reliable bike suitable for various riding preferences. With a balanced design, it provides a comfortable and efficient riding experience.",motorcycle,3999.99,12.1,4.91,34,"Generic Motors",MOT-GEN-GEN-113,https://cdn.dummyjson.com/product-images/motorcycle/generic-motorcycle/thumbnail.webp
"Kawasaki Z800","The Kawasaki Z800 is a powerful and agile sportbike known for its striking design and performance. It's equipped with advanced features, making it a favorite among motorcycle enthusiasts.",motorcycle,8999.99,9.77,3.98,52,Kawasaki,MOT-KAW-KAW-114,https://cdn.dummyjson.com/product-images/motorcycle/kawasaki-z800/thumbnail.webp
"MotoGP CI.H1","The MotoGP CI.H1 is a high-performance motorcycle inspired by MotoGP racing technology. It offers cutting-edge features and precision engineering for an exhilarating riding experience.",motorcycle,14999.99,6.92,2.97,10,MotoGP,MOT-MOT-MOT-115,https://cdn.dummyjson.com/product-images/motorcycle/motogp-ci.h1/thumbnail.webp
"Scooter Motorcycle","The Scooter Motorcycle is a practical and fuel-efficient bike ideal for urban commuting. It features a step-through design and user-friendly controls for easy maneuverability.",motorcycle,2999.99,6.27,2.53,84,ScootMaster,MOT-SCO-SCO-116,https://cdn.dummyjson.com/product-images/motorcycle/scooter-motorcycle/thumbnail.webp
"Sportbike Motorcycle","The Sportbike Motorcycle is designed for speed and agility, with a sleek and aerodynamic profile. It's suitable for riders looking for a dynamic and thrilling riding experience.",motorcycle,7499.99,11.58,3.94,0,SpeedMaster,MOT-SPE-SPO-117,https://cdn.dummyjson.com/product-images/motorcycle/sportbike-motorcycle/thumbnail.webp
"Attitude Super Leaves Hand Soap","Attitude Super Leaves Hand Soap is a natural and nourishing hand soap enriched with the goodness of super leaves. It cleanses and moisturizes your hands, leaving them feeling fresh and soft.",skin-care,8.99,18.49,3.19,94,Attitude,SKI-ATT-ATT-118,https://cdn.dummyjson.com/product-images/skin-care/attitude-super-leaves-hand-soap/thumbnail.webp
"Olay Ultra Moisture Shea Butter Body Wash","Olay Ultra Moisture Shea Butter Body Wash is a luxurious body wash that hydrates and nourishes your skin with the moisturizing power of shea butter. Enjoy a rich lather and silky-smooth skin.",skin-care,12.99,16.39,4.51,34,Olay,SKI-OLA-OLA-119,https://cdn.dummyjson.com/product-images/skin-care/olay-ultra-moisture-shea-butter-body-wash/thumbnail.webp
"Vaseline Men Body and Face Lotion","Vaseline Men Body and Face Lotion is a specially formulated lotion designed to provide long-lasting moisture to men's skin. It absorbs quickly and helps keep the skin hydrated and healthy.",skin-care,9.99,13.39,3.16,95,Vaseline,SKI-VAS-VAS-120,https://cdn.dummyjson.com/product-images/skin-care/vaseline-men-body-and-face-lotion/thumbnail.webp
"iPhone 5s","The iPhone 5s is a classic smartphone known for its compact design and advanced features during its release. While it's an older model, it still provides a reliable user experience.",smartphones,199.99,12.91,2.83,25,Apple,SMA-APP-IPH-121,https://cdn.dummyjson.com/product-images/smartphones/iphone-5s/thumbnail.webp
"iPhone 6","The iPhone 6 is a stylish and capable smartphone with a larger display and improved performance. It introduced new features and design elements, making it a popular choice in its time.",smartphones,299.99,6.69,3.41,60,Apple,SMA-APP-IPH-122,https://cdn.dummyjson.com/product-images/smartphones/iphone-6/thumbnail.webp
"iPhone 13 Pro","The iPhone 13 Pro is a cutting-edge smartphone with a powerful camera system, high-performance chip, and stunning display. It offers advanced features for users who demand top-notch technology.",smartphones,1099.99,9.37,4.12,56,Apple,SMA-APP-IPH-123,https://cdn.dummyjson.com/product-images/smartphones/iphone-13-pro/thumbnail.webp
"iPhone X","The iPhone X is a flagship smartphone featuring a bezel-less OLED display, facial recognition technology (Face ID), and impressive performance. It represents a milestone in iPhone design and innovation.",smartphones,899.99,19.59,2.51,37,Apple,SMA-APP-IPH-124,https://cdn.dummyjson.com/product-images/smartphones/iphone-x/thumbnail.webp
"Oppo A57","The Oppo A57 is a mid-range smartphone known for its sleek design and capable features. It offers a balance of performance and affordability, making it a popular choice.",smartphones,249.99,2.43,3.94,19,Oppo,SMA-OPP-OPP-125,https://cdn.dummyjson.com/product-images/smartphones/oppo-a57/thumbnail.webp
"Oppo F19 Pro Plus","The Oppo F19 Pro Plus is a feature-rich smartphone with a focus on camera capabilities. It boasts advanced photography features and a powerful performance for a premium user experience.",smartphones,399.99,18.64,3.51,78,Oppo,SMA-OPP-OPP-126,https://cdn.dummyjson.com/product-images/smartphones/oppo-f19-pro-plus/thumbnail.webp
"Oppo K1","The Oppo K1 series offers a range of smartphones with various features and specifications. Known for their stylish design and reliable performance, the Oppo K1 series caters to diverse user preferences.",smartphones,299.99,18.29,4.25,55,Oppo,SMA-OPP-OPP-127,https://cdn.dummyjson.com/product-images/smartphones/oppo-k1/thumbnail.webp
"Realme C35","The Realme C35 is a budget-friendly smartphone with a focus on providing essential features for everyday use. It offers a reliable performance and user-friendly experience.",smartphones,149.99,15.3,4.2,48,Realme,SMA-REA-REA-128,https://cdn.dummyjson.com/product-images/smartphones/realme-c35/thumbnail.webp
"Realme X","The Realme X is a mid-range smartphone known for its sleek design and impressive display. It offers a good balance of performance and camera capabilities for users seeking a quality device.",smartphones,299.99,6.95,3.7,12,Realme,SMA-REA-REA-129,https://cdn.dummyjson.com/product-images/smartphones/realme-x/thumbnail.webp
"Realme XT","The Realme XT is a feature-rich smartphone with a focus on camera technology. It comes equipped with advanced camera sensors, delivering high-quality photos and videos for photography enthusiasts.",smartphones,349.99,11.51,4.58,80,Realme,SMA-REA-REA-130,https://cdn.dummyjson.com/product-images/smartphones/realme-xt/thumbnail.webp
"Samsung Galaxy S7","The Samsung Galaxy S7 is a flagship smartphone known for its sleek design and advanced features. It features a high-resolution display, powerful camera, and robust performance.",smartphones,299.99,19.55,3.3,67,Samsung,SMA-SAM-SAM-131,https://cdn.dummyjson.com/product-images/smartphones/samsung-galaxy-s7/thumbnail.webp
"Samsung Galaxy S8","The Samsung Galaxy S8 is a premium smartphone with an Infinity Display, offering a stunning visual experience. It boasts advanced camera capabilities and cutting-edge technology.",smartphones,499.99,19.45,4.4,0,Samsung,SMA-SAM-SAM-132,https://cdn.dummyjson.com/product-images/smartphones/samsung-galaxy-s8/thumbnail.webp
"Samsung Galaxy S10","The Samsung Galaxy S10 is a flagship device featuring a dynamic AMOLED display, versatile camera system, and powerful performance. It represents innovation and excellence in smartphone technology.",smartphones,699.99,5.59,3.06,19,Samsung,SMA-SAM-SAM-133,https://cdn.dummyjson.com/product-images/smartphones/samsung-galaxy-s10/thumbnail.webp
"Vivo S1","The Vivo S1 is a stylish and mid-range smartphone offering a blend of design and performance. It features a vibrant display, capable camera system, and reliable functionality.",smartphones,249.99,10.17,3.5,50,Vivo,SMA-VIV-VIV-134,https://cdn.dummyjson.com/product-images/smartphones/vivo-s1/thumbnail.webp
"Vivo V9","The Vivo V9 is a smartphone known for its sleek design and emphasis on capturing high-quality selfies. It features a notch display, dual-camera setup, and a modern design.",smartphones,299.99,17.67,3.6,82,Vivo,SMA-VIV-VIV-135,https://cdn.dummyjson.com/product-images/smartphones/vivo-v9/thumbnail.webp
"Vivo X21","The Vivo X21 is a premium smartphone with a focus on cutting-edge technology. It features an in-display fingerprint sensor, a high-resolution display, and advanced camera capabilities.",smartphones,499.99,17.41,4.26,7,Vivo,SMA-VIV-VIV-136,https://cdn.dummyjson.com/product-images/smartphones/vivo-x21/thumbnail.webp
"American Football","The American Football is a classic ball used in American football games. It is designed for throwing and catching, making it an essential piece of equipment for the sport.",sports-accessories,19.99,4.93,4.91,53,,SPO-BRD-AME-137,https://cdn.dummyjson.com/product-images/sports-accessories/american-football/thumbnail.webp
"Baseball Ball","The Baseball Ball is a standard baseball used in baseball games. It features a durable leather cover and is designed for pitching, hitting, and fielding in the game of baseball.",sports-accessories,8.99,1.71,2.57,100,,SPO-BRD-BAS-138,https://cdn.dummyjson.com/product-images/sports-accessories/baseball-ball/thumbnail.webp
"Baseball Glove","The Baseball Glove is a protective glove worn by baseball players. It is designed to catch and field the baseball, providing players with comfort and control during the game.",sports-accessories,24.99,2.9,3.96,22,,SPO-BRD-BAS-139,https://cdn.dummyjson.com/product-images/sports-accessories/baseball-glove/thumbnail.webp
Basketball,"The Basketball is a standard ball used in basketball games. It is designed for dribbling, shooting, and passing in the game of basketball, suitable for both indoor and outdoor play.",sports-accessories,14.99,7.44,4.66,75,,SPO-BRD-BAS-140,https://cdn.dummyjson.com/product-images/sports-accessories/basketball/thumbnail.webp
"Basketball Rim","The Basketball Rim is a sturdy hoop and net assembly mounted on a basketball backboard. It provides a target for shooting and scoring in the game of basketball.",sports-accessories,39.99,7.74,4.6,43,,SPO-BRD-BAS-141,https://cdn.dummyjson.com/product-images/sports-accessories/basketball-rim/thumbnail.webp
"Cricket Ball","The Cricket Ball is a hard leather ball used in the sport of cricket. It is bowled and batted in the game, and its hardness and seam contribute to the dynamics of cricket play.",sports-accessories,12.99,8.63,3.53,30,,SPO-BRD-CRI-142,https://cdn.dummyjson.com/product-images/sports-accessories/cricket-ball/thumbnail.webp
"Cricket Bat","The Cricket Bat is an essential piece of cricket equipment used by batsmen to hit the cricket ball. It is made of wood and comes in various sizes and designs.",sports-accessories,29.99,3.29,3.17,98,,SPO-BRD-CRI-143,https://cdn.dummyjson.com/product-images/sports-accessories/cricket-bat/thumbnail.webp
"Cricket Helmet","The Cricket Helmet is a protective headgear worn by cricket players, especially batsmen and wicketkeepers. It provides protection against fast bowling and bouncers.",sports-accessories,44.99,9.64,4.69,10,,SPO-BRD-CRI-144,https://cdn.dummyjson.com/product-images/sports-accessories/cricket-helmet/thumbnail.webp
"Cricket Wicket","The Cricket Wicket is a set of three stumps and two bails, forming a wicket used in the sport of cricket. Batsmen aim to protect the wicket while scoring runs.",sports-accessories,29.99,16.93,4.73,25,,SPO-BRD-CRI-145,https://cdn.dummyjson.com/product-images/sports-accessories/cricket-wicket/thumbnail.webp
"Feather Shuttlecock","The Feather Shuttlecock is used in the sport of badminton. It features natural feathers and is designed for high-speed play, providing stability and accuracy during matches.",sports-accessories,5.99,2.95,2.85,95,,SPO-BRD-FEA-146,https://cdn.dummyjson.com/product-images/sports-accessories/feather-shuttlecock/thumbnail.webp
Football,"The Football, also known as a soccer ball, is the standard ball used in the sport of football (soccer). It is designed for kicking and passing in the game.",sports-accessories,17.99,5.15,3.28,96,,SPO-BRD-FOO-147,https://cdn.dummyjson.com/product-images/sports-accessories/football/thumbnail.webp
"Golf Ball","The Golf Ball is a small ball used in the sport of golf. It features dimples on its surface, providing aerodynamic lift and distance when struck by a golf club.",sports-accessories,9.99,17.37,4.3,84,,SPO-BRD-GOL-148,https://cdn.dummyjson.com/product-images/sports-accessories/golf-ball/thumbnail.webp
"Iron Golf","The Iron Golf is a type of golf club designed for various golf shots. It features a solid metal head and is used for approach shots, chipping, and other golfing techniques.",sports-accessories,49.99,6.53,4.41,90,,SPO-BRD-IRO-149,https://cdn.dummyjson.com/product-images/sports-accessories/iron-golf/thumbnail.webp
"Metal Baseball Bat","The Metal Baseball Bat is a durable and lightweight baseball bat made from metal alloys. It is commonly used in baseball games for hitting and batting practice.",sports-accessories,29.99,19.51,4.66,16,,SPO-BRD-MET-150,https://cdn.dummyjson.com/product-images/sports-accessories/metal-baseball-bat/thumbnail.webp
"Tennis Ball","The Tennis Ball is a standard ball used in the sport of tennis. It is designed for bouncing and hitting with tennis rackets during matches or practice sessions.",sports-accessories,6.99,11.76,4.06,28,,SPO-BRD-TEN-151,https://cdn.dummyjson.com/product-images/sports-accessories/tennis-ball/thumbnail.webp
"Tennis Racket","The Tennis Racket is an essential piece of equipment used in the sport of tennis. It features a frame with strings and a grip, allowing players to hit the tennis ball.",sports-accessories,49.99,19.61,4.03,6,,SPO-BRD-TEN-152,https://cdn.dummyjson.com/product-images/sports-accessories/tennis-racket/thumbnail.webp
Volleyball,"The Volleyball is a standard ball used in the sport of volleyball. It is designed for passing, setting, and spiking over the net during volleyball matches.",sports-accessories,11.99,12.25,3.84,0,,SPO-BRD-VOL-153,https://cdn.dummyjson.com/product-images/sports-accessories/volleyball/thumbnail.webp
"Black Sun Glasses","The Black Sun Glasses are a classic and stylish choice, featuring a sleek black frame and tinted lenses. They provide both UV protection and a fashionable look.",sunglasses,29.99,4.94,4.41,60,"Fashion Shades",SUN-FAS-BLA-154,https://cdn.dummyjson.com/product-images/sunglasses/black-sun-glasses/thumbnail.webp
"Classic Sun Glasses","The Classic Sun Glasses offer a timeless design with a neutral frame and UV-protected lenses. These sunglasses are versatile and suitable for various occasions.",sunglasses,24.99,4.94,3.86,1,"Fashion Shades",SUN-FAS-CLA-155,https://cdn.dummyjson.com/product-images/sunglasses/classic-sun-glasses/thumbnail.webp
"Green and Black Glasses","The Green and Black Glasses feature a bold combination of green and black colors, adding a touch of vibrancy to your eyewear collection. They are both stylish and eye-catching.",sunglasses,34.99,1.01,4.55,24,"Fashion Shades",SUN-FAS-GRE-156,https://cdn.dummyjson.com/product-images/sunglasses/green-and-black-glasses/thumbnail.webp
"Party Glasses","The Party Glasses are designed to add flair to your party outfit. With unique shapes or colorful frames, they're perfect for adding a playful touch to your look during celebrations.",sunglasses,19.99,11.22,2.79,86,"Fashion Fun",SUN-FAS-PAR-157,https://cdn.dummyjson.com/product-images/sunglasses/party-glasses/thumbnail.webp
Sunglasses,"The Sunglasses offer a classic and simple design with a focus on functionality. These sunglasses provide essential UV protection while maintaining a timeless look.",sunglasses,22.99,1.51,3.02,27,"Fashion Shades",SUN-FAS-SUN-158,https://cdn.dummyjson.com/product-images/sunglasses/sunglasses/thumbnail.webp
"iPad Mini 2021 Starlight","The iPad Mini 2021 in Starlight is a compact and powerful tablet from Apple. Featuring a stunning Retina display, powerful A-series chip, and a sleek design, it offers a premium tablet experience.",tablets,499.99,3.64,3.18,47,Apple,TAB-APP-IPA-159,https://cdn.dummyjson.com/product-images/tablets/ipad-mini-2021-starlight/thumbnail.webp
"Samsung Galaxy Tab S8 Plus Grey","The Samsung Galaxy Tab S8 Plus in Grey is a high-performance Android tablet by Samsung. With a large AMOLED display, powerful processor, and S Pen support, it's ideal for productivity and entertainment.",tablets,599.99,13.31,4.68,62,Samsung,TAB-SAM-SAM-160,https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-s8-plus-grey/thumbnail.webp
"Samsung Galaxy Tab White","The Samsung Galaxy Tab in White is a sleek and versatile Android tablet. With a vibrant display, long-lasting battery, and a range of features, it offers a great user experience for various tasks.",tablets,349.99,18.2,3.72,92,Samsung,TAB-SAM-SAM-161,https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-white/thumbnail.webp
"Blue Frock","The Blue Frock is a charming and stylish dress for various occasions. With a vibrant blue color and a comfortable design, it adds a touch of elegance to your wardrobe.",tops,29.99,12.13,4.17,52,,TOP-BRD-BLU-162,https://cdn.dummyjson.com/product-images/tops/blue-frock/thumbnail.webp
"Girl Summer Dress","The Girl Summer Dress is a cute and breezy dress designed for warm weather. With playful patterns and lightweight fabric, it's perfect for keeping cool and stylish during the summer.",tops,19.99,19.2,4.77,43,,TOP-BRD-GIR-163,https://cdn.dummyjson.com/product-images/tops/girl-summer-dress/thumbnail.webp
"Gray Dress","The Gray Dress is a versatile and chic option for various occasions. With a neutral gray color, it can be dressed up or down, making it a wardrobe staple for any fashion-forward individual.",tops,34.99,14.28,2.72,55,,TOP-BRD-GRA-164,https://cdn.dummyjson.com/product-images/tops/gray-dress/thumbnail.webp
"Short Frock","The Short Frock is a playful and trendy dress with a shorter length. Ideal for casual outings or special occasions, it combines style and comfort for a fashionable look.",tops,24.99,13.45,3.23,22,,TOP-BRD-SHO-165,https://cdn.dummyjson.com/product-images/tops/short-frock/thumbnail.webp
"Tartan Dress","The Tartan Dress features a classic tartan pattern, bringing a timeless and sophisticated touch to your wardrobe. Perfect for fall and winter, it adds a hint of traditional charm.",tops,39.99,12.95,4.05,73,,TOP-BRD-TAR-166,https://cdn.dummyjson.com/product-images/tops/tartan-dress/thumbnail.webp
"300 Touring","The 300 Touring is a stylish and comfortable sedan, known for its luxurious features and smooth performance.",vehicle,28999.99,3.98,4.05,54,Chrysler,VEH-CHR-TOU-167,https://cdn.dummyjson.com/product-images/vehicle/300-touring/thumbnail.webp
"Charger SXT RWD","The Charger SXT RWD is a powerful and sporty rear-wheel-drive sedan, offering a blend of performance and practicality.",vehicle,32999.99,8.23,2.58,57,Dodge,VEH-DOD-CHA-168,https://cdn.dummyjson.com/product-images/vehicle/charger-sxt-rwd/thumbnail.webp
"Dodge Hornet GT Plus","The Dodge Hornet GT Plus is a compact and agile hatchback, perfect for urban driving with a touch of sportiness.",vehicle,24999.99,2.63,2.65,82,Dodge,VEH-DOD-DOD-169,https://cdn.dummyjson.com/product-images/vehicle/dodge-hornet-gt-plus/thumbnail.webp
"Durango SXT RWD","The Durango SXT RWD is a spacious and versatile SUV, known for its strong performance and family-friendly features.",vehicle,36999.99,16.44,4.07,95,Dodge,VEH-DOD-DUR-170,https://cdn.dummyjson.com/product-images/vehicle/durango-sxt-rwd/thumbnail.webp
"Pacifica Touring","The Pacifica Touring is a stylish and well-equipped minivan, offering comfort and convenience for family journeys.",vehicle,31999.99,14.76,3.62,53,Chrysler,VEH-CHR-PAC-171,https://cdn.dummyjson.com/product-images/vehicle/pacifica-touring/thumbnail.webp
"Blue Women's Handbag","The Blue Women's Handbag is a stylish and spacious accessory for everyday use. With a vibrant blue color and multiple compartments, it combines fashion and functionality.",womens-bags,49.99,17.88,2.92,76,Fashionista,WOM-FAS-BLU-172,https://cdn.dummyjson.com/product-images/womens-bags/blue-women's-handbag/thumbnail.webp
"Heshe Women's Leather Bag","The Heshe Women's Leather Bag is a luxurious and high-quality leather bag for the sophisticated woman. With a timeless design and durable craftsmanship, it's a versatile accessory.",womens-bags,129.99,3.87,4.92,99,Heshe,WOM-HES-HES-173,https://cdn.dummyjson.com/product-images/womens-bags/heshe-women's-leather-bag/thumbnail.webp
"Prada Women Bag","The Prada Women Bag is an iconic designer bag that exudes elegance and luxury. Crafted with precision and featuring the Prada logo, it's a statement piece for fashion enthusiasts.",womens-bags,599.99,14.09,2.71,75,Prada,WOM-PRA-PRA-174,https://cdn.dummyjson.com/product-images/womens-bags/prada-women-bag/thumbnail.webp
"White Faux Leather Backpack","The White Faux Leather Backpack is a trendy and practical backpack for the modern woman. With a sleek white design and ample storage space, it's perfect for both casual and on-the-go styles.",womens-bags,39.99,15.2,3.36,39,"Urban Chic",WOM-URB-WHI-175,https://cdn.dummyjson.com/product-images/womens-bags/white-faux-leather-backpack/thumbnail.webp
"Women Handbag Black","The Women Handbag in Black is a classic and versatile accessory that complements various outfits. With a timeless black color and functional design, it's a must-have in every woman's wardrobe.",womens-bags,59.99,11.63,2.89,11,"Elegance Collection",WOM-ELE-WOM-176,https://cdn.dummyjson.com/product-images/womens-bags/women-handbag-black/thumbnail.webp
"Black Women's Gown","The Black Women's Gown is an elegant and timeless evening gown. With a sleek black design, it's perfect for formal events and special occasions, exuding sophistication and style.",womens-dresses,129.99,10.48,3.64,25,,WOM-BRD-BLA-177,https://cdn.dummyjson.com/product-images/womens-dresses/black-women's-gown/thumbnail.webp
"Corset Leather With Skirt","The Corset Leather With Skirt is a bold and edgy ensemble that combines a stylish corset with a matching skirt. Ideal for fashion-forward individuals, it makes a statement at any event.",womens-dresses,89.99,16.26,3.05,30,,WOM-BRD-COR-178,https://cdn.dummyjson.com/product-images/womens-dresses/corset-leather-with-skirt/thumbnail.webp
"Corset With Black Skirt","The Corset With Black Skirt is a chic and versatile outfit that pairs a fashionable corset with a classic black skirt. It offers a trendy and coordinated look for various occasions.",womens-dresses,79.99,15.06,4.52,33,,WOM-BRD-COR-179,https://cdn.dummyjson.com/product-images/womens-dresses/corset-with-black-skirt/thumbnail.webp
"Dress Pea","The Dress Pea is a stylish and comfortable dress with a pea pattern. Perfect for casual outings, it adds a playful and fun element to your wardrobe, making it a great choice for day-to-day wear.",womens-dresses,49.99,17.68,4.88,6,,WOM-BRD-DRE-180,https://cdn.dummyjson.com/product-images/womens-dresses/dress-pea/thumbnail.webp
"Marni Red & Black Suit","The Marni Red & Black Suit is a sophisticated and fashion-forward suit ensemble. With a combination of red and black tones, it showcases a modern design for a bold and confident look.",womens-dresses,179.99,19.02,4.48,62,,WOM-BRD-MAR-181,https://cdn.dummyjson.com/product-images/womens-dresses/marni-red-&-black-suit/thumbnail.webp
"Green Crystal Earring","The Green Crystal Earring is a dazzling accessory that features a vibrant green crystal. With a classic design, it adds a touch of elegance to your ensemble, perfect for formal or special occasions.",womens-jewellery,29.99,15.24,3.96,54,,WOM-BRD-GRE-182,https://cdn.dummyjson.com/product-images/womens-jewellery/green-crystal-earring/thumbnail.webp
"Green Oval Earring","The Green Oval Earring is a stylish and versatile accessory with a unique oval shape. Whether for casual or dressy occasions, its green hue and contemporary design make it a standout piece.",womens-jewellery,24.99,15.18,3.57,73,,WOM-BRD-GRE-183,https://cdn.dummyjson.com/product-images/womens-jewellery/green-oval-earring/thumbnail.webp
"Tropical Earring","The Tropical Earring is a fun and playful accessory inspired by tropical elements. Featuring vibrant colors and a lively design, it's perfect for adding a touch of summer to your look.",womens-jewellery,19.99,0.76,4.4,1,,WOM-BRD-TRO-184,https://cdn.dummyjson.com/product-images/womens-jewellery/tropical-earring/thumbnail.webp
"Black & Brown Slipper","The Black & Brown Slipper is a comfortable and stylish choice for casual wear. Featuring a blend of black and brown colors, it adds a touch of sophistication to your relaxation.",womens-shoes,19.99,3.33,2.53,3,"Comfort Trends",WOM-COM-BLA-185,https://cdn.dummyjson.com/product-images/womens-shoes/black-&-brown-slipper/thumbnail.webp
"Calvin Klein Heel Shoes","Calvin Klein Heel Shoes are elegant and sophisticated, designed for formal occasions. With a classic design and high-quality materials, they complement your stylish ensemble.",womens-shoes,79.99,3.19,4.92,93,"Calvin Klein",WOM-CAL-CAL-186,https://cdn.dummyjson.com/product-images/womens-shoes/calvin-klein-heel-shoes/thumbnail.webp
"Golden Shoes Woman","The Golden Shoes for Women are a glamorous choice for special occasions. Featuring a golden hue and stylish design, they add a touch of luxury to your outfit.",womens-shoes,49.99,13.93,3.26,88,"Fashion Diva",WOM-FAS-GOL-187,https://cdn.dummyjson.com/product-images/womens-shoes/golden-shoes-woman/thumbnail.webp
"Pampi Shoes","Pampi Shoes offer a blend of comfort and style for everyday use. With a versatile design, they are suitable for various casual occasions, providing a trendy and relaxed look.",womens-shoes,29.99,14.14,3.05,49,Pampi,WOM-PAM-PAM-188,https://cdn.dummyjson.com/product-images/womens-shoes/pampi-shoes/thumbnail.webp
"Red Shoes","The Red Shoes make a bold statement with their vibrant red color. Whether for a party or a casual outing, these shoes add a pop of color and style to your wardrobe.",womens-shoes,34.99,17.69,3.25,7,"Fashion Express",WOM-FAS-SHO-189,https://cdn.dummyjson.com/product-images/womens-shoes/red-shoes/thumbnail.webp
"IWC Ingenieur Automatic Steel","The IWC Ingenieur Automatic Steel watch is a durable and sophisticated timepiece. With a stainless steel case and automatic movement, it combines precision and style for watch enthusiasts.",womens-watches,4999.99,9.45,2.93,90,IWC,WOM-IWC-ING-190,https://cdn.dummyjson.com/product-images/womens-watches/iwc-ingenieur-automatic-steel/thumbnail.webp
"Rolex Cellini Moonphase","The Rolex Cellini Moonphase watch is a masterpiece of horology. Featuring a moon phase complication, it showcases the craftsmanship and elegance that Rolex is renowned for.",womens-watches,15999.99,4.11,3.83,52,Rolex,WOM-ROL-ROL-191,https://cdn.dummyjson.com/product-images/womens-watches/rolex-cellini-moonphase/thumbnail.webp
